date;google_trends;apple_mobility
2020-01-13T00:00:00Z;  0,0;100,00000
2020-01-14T00:00:00Z;  0,5;102,82000
2020-01-15T00:00:00Z;  0,5;103,31000
2020-01-16T00:00:00Z;  0,5;100,37667
2020-01-17T00:00:00Z;  0,5;104,96000
2020-01-18T00:00:00Z;  0,5; 98,85667
2020-01-19T00:00:00Z;  0,5; 76,65000
2020-01-20T00:00:00Z;  0,5; 98,41333
2020-01-21T00:00:00Z;  1,0;104,22667
2020-01-22T00:00:00Z;  4,0;102,10333
2020-01-23T00:00:00Z;  5,0; 98,96667
2020-01-24T00:00:00Z;  4,0;104,75333
2020-01-25T00:00:00Z;  5,0; 98,21667
2020-01-26T00:00:00Z;  7,0; 76,24000
2020-01-27T00:00:00Z;  7,0; 98,88000
2020-01-28T00:00:00Z; 14,0;102,86333
2020-01-29T00:00:00Z; 18,0;101,60667
2020-01-30T00:00:00Z; 16,0;100,06667
2020-01-31T00:00:00Z; 13,0;108,33000
2020-02-01T00:00:00Z;  8,0; 96,48667
2020-02-02T00:00:00Z;  6,0; 73,35333
2020-02-03T00:00:00Z;  5,0;100,43000
2020-02-04T00:00:00Z;  4,0;103,37667
2020-02-05T00:00:00Z;  4,0;102,82667
2020-02-06T00:00:00Z;  4,0;103,89000
2020-02-07T00:00:00Z;  4,0;117,00000
2020-02-08T00:00:00Z;  4,0;109,24667
2020-02-09T00:00:00Z;  4,0; 77,55000
2020-02-10T00:00:00Z;  3,0;107,04667
2020-02-11T00:00:00Z;  3,0;106,33667
2020-02-12T00:00:00Z;  2,0;109,04667
2020-02-13T00:00:00Z;  3,0;108,62000
2020-02-14T00:00:00Z;  2,0;119,82667
2020-02-15T00:00:00Z;  2,0;122,88667
2020-02-16T00:00:00Z;  2,0; 94,05333
2020-02-17T00:00:00Z;  2,0;107,90333
2020-02-18T00:00:00Z;  2,0;112,96000
2020-02-19T00:00:00Z;  1,0;113,35333
2020-02-20T00:00:00Z;  1,0;114,94333
2020-02-21T00:00:00Z;  1,0;130,90667
2020-02-22T00:00:00Z;  1,0;136,02000
2020-02-23T00:00:00Z;  2,0;112,07000
2020-02-24T00:00:00Z;  3,0;107,28000
2020-02-25T00:00:00Z;  5,0; 97,40667
2020-02-26T00:00:00Z; 25,0; 86,82000
2020-02-27T00:00:00Z; 18,0; 97,09667
2020-02-28T00:00:00Z; 17,0;105,20000
2020-02-29T00:00:00Z; 13,0;101,20667
2020-03-01T00:00:00Z; 10,0; 71,97000
2020-03-02T00:00:00Z;  9,0;100,29000
2020-03-03T00:00:00Z;  7,0;104,09000
