date;google_trends;indice_isolamento
2020-03-05T00:00:00Z; 10;30
2020-03-06T00:00:00Z; 10;29
2020-03-12T00:00:00Z; 54;28
2020-03-13T00:00:00Z; 67;30
2020-03-17T00:00:00Z; 90;38
2020-03-18T00:00:00Z; 93;40
2020-03-19T00:00:00Z; 99;42
2020-03-20T00:00:00Z; 94;44
2020-03-21T00:00:00Z;100;56
2020-03-22T00:00:00Z; 96;56
2020-03-23T00:00:00Z; 82;52
2020-03-24T00:00:00Z; 68;54
2020-03-25T00:00:00Z; 58;54
2020-03-26T00:00:00Z; 56;54
2020-03-27T00:00:00Z; 54;53
2020-03-28T00:00:00Z; 56;56
2020-03-29T00:00:00Z; 51;59
2020-03-30T00:00:00Z; 43;55
2020-03-31T00:00:00Z; 37;55
2020-04-01T00:00:00Z; 38;55
2020-04-02T00:00:00Z; 40;55
2020-04-03T00:00:00Z; 38;54
2020-04-04T00:00:00Z; 36;57
2020-04-05T00:00:00Z; 36;59
2020-04-06T00:00:00Z; 59;52
2020-04-07T00:00:00Z; 53;51
2020-04-08T00:00:00Z; 52;50
2020-04-09T00:00:00Z; 69;47
2020-04-10T00:00:00Z; 56;57
2020-04-11T00:00:00Z; 33;55
2020-04-12T00:00:00Z; 28;59
2020-04-13T00:00:00Z; 48;50
2020-04-14T00:00:00Z; 28;50
2020-04-15T00:00:00Z; 24;50
2020-04-16T00:00:00Z; 24;49
2020-04-17T00:00:00Z; 26;49
2020-04-18T00:00:00Z; 22;54
2020-04-19T00:00:00Z; 23;59
2020-04-20T00:00:00Z; 20;51
2020-04-21T00:00:00Z; 20;57
2020-04-22T00:00:00Z; 20;48
2020-04-23T00:00:00Z; 20;48
2020-04-24T00:00:00Z; 19;48
2020-04-25T00:00:00Z; 40;52
2020-04-26T00:00:00Z; 47;58
2020-04-27T00:00:00Z; 22;48
2020-04-28T00:00:00Z; 20;48
2020-04-29T00:00:00Z; 22;47
2020-04-30T00:00:00Z; 20;46
2020-05-01T00:00:00Z; 22;56
2020-05-02T00:00:00Z; 21;53
2020-05-03T00:00:00Z; 20;59
2020-05-04T00:00:00Z; 19;47
2020-05-05T00:00:00Z; 20;47
2020-05-06T00:00:00Z; 20;47
2020-05-07T00:00:00Z; 20;47
2020-05-08T00:00:00Z; 19;46
2020-05-09T00:00:00Z; 20;50
2020-05-10T00:00:00Z; 18;53
2020-05-11T00:00:00Z; 19;48
2020-05-12T00:00:00Z; 18;47
2020-05-13T00:00:00Z; 17;47
2020-05-14T00:00:00Z; 16;48
2020-05-15T00:00:00Z; 16;47
2020-05-16T00:00:00Z; 17;50
2020-05-17T00:00:00Z; 22;54
2020-05-18T00:00:00Z; 18;49
2020-05-19T00:00:00Z; 16;48
2020-05-20T00:00:00Z; 17;49
2020-05-21T00:00:00Z; 16;49
2020-05-22T00:00:00Z; 16;48
2020-05-23T00:00:00Z; 14;51
2020-05-24T00:00:00Z; 15;55
2020-05-25T00:00:00Z; 15;51
2020-05-26T00:00:00Z; 14;47
2020-05-27T00:00:00Z; 14;48
2020-05-28T00:00:00Z; 13;48
2020-05-29T00:00:00Z; 13;47
2020-05-30T00:00:00Z; 13;51
2020-05-31T00:00:00Z; 13;53
2020-06-01T00:00:00Z; 12;47
2020-06-02T00:00:00Z; 12;48
2020-06-03T00:00:00Z; 11;47
2020-06-04T00:00:00Z; 12;47
2020-06-05T00:00:00Z; 11;46
